アマランサス　玄穀,343,12.7,6.0,7.4,64.9,600,160,9.4,5.8,2,0.04,0.14,0,0,
あわ　精白粒,346,11.2,4.4,3.3,69.7,300,14,4.8,2.5,0,0.56,0.07,0,0,"うるち、もちを含む
歩留り： 70～80 %"
あわ　あわもち,210,5.1,1.3,1.5,45.3,62,5,0.7,1.1,0,0.08,0.01,0,0,原材料配合割合： もちあわ50、もち米50
えんばく　オートミール,350,13.7,5.7,9.4,69.1,260,47,3.9,2.1,0,0.20,0.08,0,0,別名： オート、オーツ
おおむぎ　七分つき押麦,343,10.9,2.1,10.3,72.1,220,23,1.3,1.4,0,0.22,0.07,0,0,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
おおむぎ　押麦　乾,329,6.7,1.5,12.2,78.3,210,21,1.1,1.1,0,0.11,0.03,0,0,"歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
食物繊維：AOAC2011.25法"
おおむぎ　押麦　めし,118,2.2,0.5,4.2,28.5,38,6,0.4,0.4,0,0.02,0,0,0,"乾35 g相当量を含む
食物繊維：AOAC2011.25法"
おおむぎ　米粒麦,333,7.0,2.1,8.7,76.2,170,17,1.2,1.2,0,0.19,0.05,0,0,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
おおむぎ　大麦めん　乾,343,12.9,1.7,6.3,68.0,240,27,2.1,1.5,0,0.21,0.04,0,2.8,原材料配合割合： 大麦粉 50、小麦粉 50
おおむぎ　大麦めん　ゆで,121,4.8,0.6,2.5,24.3,10,12,0.9,0.6,0,0.04,0.01,0,0.2,原材料配合割合： 大麦粉 50、小麦粉 50
おおむぎ　麦こがし,368,12.5,5.0,15.5,77.1,490,43,3.1,3.8,0,0.09,0.10,0,0,別名： こうせん、はったい粉
キヌア　玄穀,344,13.4,3.2,6.2,69.0,580,46,4.3,2.8,12,0.45,0.24,0,0.1,
きび　精白粒,353,11.3,3.3,1.6,70.9,200,9,2.1,2.7,0,0.34,0.09,0,0,"うるち、もちを含む
歩留り： 70～80 %"
こむぎ　［玄穀］　国産　普通,329,10.8,3.1,14.0,72.1,440,26,3.2,2.6,0,0.41,0.09,0,0,食物繊維：AOAC2011.25法
こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,11.2,75.2,390,36,2.9,1.7,0,0.49,0.09,0,0,
こむぎ　［玄穀］　輸入　硬質,332,13.0,3.0,11.4,69.4,340,26,3.2,3.1,0,0.35,0.09,0,0,
