[100g]アマランサス　玄穀,343,13,6,7,65,600,160,9,6,2,0,0,0,0,
[100g]あわ　精白粒,346,11,4,3,70,300,14,5,3,0,1,0,0,0,"うるち、もちを含む
歩留り： 70～80 %"
[100g]あわ　あわもち,210,5,1,2,45,62,5,1,1,0,0,0,0,0,原材料配合割合： もちあわ50、もち米50
[100g]えんばく　オートミール,350,14,6,9,69,260,47,4,2,0,0,0,0,0,別名： オート、オーツ
[100g]おおむぎ　七分つき押麦,343,11,2,10,72,220,23,1,1,0,0,0,0,0,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
[100g]おおむぎ　押麦　乾,329,7,2,12,78,210,21,1,1,0,0,0,0,0,"歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
食物繊維：AOAC2011.25法"
[100g]おおむぎ　押麦　めし,118,2,1,4,29,38,6,0,0,0,0,0,0,0,"乾35 g相当量を含む
食物繊維：AOAC2011.25法"
[100g]おおむぎ　米粒麦,333,7,2,9,76,170,17,1,1,0,0,0,0,0,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
[100g]おおむぎ　大麦めん　乾,343,13,2,6,68,240,27,2,2,0,0,0,0,3,原材料配合割合： 大麦粉 50、小麦粉 50
[100g]おおむぎ　大麦めん　ゆで,121,5,1,3,24,10,12,1,1,0,0,0,0,0,原材料配合割合： 大麦粉 50、小麦粉 50
[100g]おおむぎ　麦こがし,368,13,5,16,77,490,43,3,4,0,0,0,0,0,別名： こうせん、はったい粉
[100g]キヌア　玄穀,344,13,3,6,69,580,46,4,3,12,0,0,0,0,
[100g]きび　精白粒,353,11,3,2,71,200,9,2,3,0,0,0,0,0,"うるち、もちを含む
歩留り： 70～80 %"
[100g]こむぎ　［玄穀］　国産　普通,329,11,3,14,72,440,26,3,3,0,0,0,0,0,食物繊維：AOAC2011.25法
[100g]こむぎ　［玄穀］　輸入　軟質,344,10,3,11,75,390,36,3,2,0,0,0,0,0,
[100g]こむぎ　［玄穀］　輸入　硬質,332,13,3,11,69,340,26,3,3,0,0,0,0,0,
[100g]こむぎ　［小麦粉］　薄力粉　1等,349,8,2,3,76,110,20,1,0,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　薄力粉　2等,345,9,2,3,74,130,23,1,1,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　中力粉　1等,337,9,2,3,75,100,17,1,1,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　中力粉　2等,346,10,2,2,74,110,24,1,1,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　強力粉　1等,337,12,2,3,72,89,17,1,1,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　強力粉　2等,343,13,2,2,71,86,21,1,1,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　強力粉　全粒粉,320,13,3,11,68,330,26,3,3,0,0,0,0,0,100 g： 182 mL、100 mL：55 g
[100g]こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10,2,3,74,210,64,1,1,8,0,0,0,4,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g 
100 g： 182 mL、100 mL：55 g"
[100g]こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,8,4,2,74,230,100,1,0,3,0,0,0,1,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g
100 g： 182 mL、100 mL：55 g"
[100g]こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10,1,3,70,280,110,1,1,56,0,0,0,10,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g　
βカロテン： 着色料として添加 
100 g： 182 mL、100 mL：55 g"
[100g]こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,9,1,3,76,160,140,1,1,4,0,1,0,1,"βカロテン及びビタミンB2無添加のもの
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g 
100 g： 182 mL、100 mL：55 g"
[100g]こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,136,3,1,1,30,67,84,0,0,39,0,0,0,0,"天ぷら粉39、水61
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g
食物繊維：AOAC2011.25法"
[100g]こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4,48,3,37,93,100,0,0,1,0,0,0,0,"別名： 揚げ玉、天かす
植物油（なたね油）
調理による脂質の増減：第1章表13参照
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g
食物繊維：AOAC2011.25法"
[100g]こむぎ　［パン類］　角形食パン　食パン,248,9,4,4,46,86,22,1,1,4,0,0,0,1,食物繊維：AOAC2011.25法
[100g]こむぎ　［パン類］　角形食パン　焼き,269,10,5,5,51,93,26,1,1,,0,0,0,1,食物繊維：AOAC2011.25法
[100g]こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8,4,4,43,78,20,0,0,5,0,0,0,1,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
別名：サンドイッチ用食パン
食物繊維：AOAC2011.25法"
[100g]こむぎ　［パン類］　角形食パン　耳,273,0,0,0,0,0,0,0,0,0,0,0,0,0,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
食物繊維：AOAC2011.25法"
[100g]こむぎ　［パン類］　食パン　リーンタイプ,246,0,0,0,0,0,0,0,0,0,0,0,0,0,
[100g]こむぎ　［パン類］　食パン　リッチタイプ,256,0,0,0,0,0,0,0,0,0,0,0,0,0,
[100g]こむぎ　［パン類］　山形食パン　食パン,246,0,0,0,0,0,0,0,0,0,0,0,0,0,別名：イギリスパン
[100g]こむぎ　［パン類］　コッペパン,259,9,4,2,49,95,37,1,1,0,0,0,0,1,
[100g]こむぎ　［パン類］　乾パン,386,10,4,3,79,160,30,1,1,0,0,0,0,1,
[100g]こむぎ　［パン類］　フランスパン,289,9,1,3,58,110,16,1,1,0,0,0,0,2,
[100g]こむぎ　［パン類］　ライ麦パン,252,8,2,6,53,190,16,1,1,0,0,0,0,1,主原料配合： ライ麦粉 50 %
[100g]こむぎ　［パン類］　全粒粉パン,251,8,6,5,46,140,14,1,0,0,0,0,0,1,
[100g]こむぎ　［パン類］　ぶどうパン,263,8,4,2,51,210,32,1,1,1,0,0,0,1,
[100g]こむぎ　［パン類］　ロールパン,309,10,9,2,49,110,44,1,1,15,0,0,0,1,
[100g]こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,0,0,0,0,0,0,0,0,0,0,0,0,0,
[100g]こむぎ　［パン類］　クロワッサン　リッチタイプ,438,8,27,2,44,90,21,1,1,69,0,0,0,1,
[100g]こむぎ　［パン類］　くるみパン,292,0,0,0,0,0,0,0,0,0,0,0,0,0,
[100g]こむぎ　［パン類］　イングリッシュマフィン,224,8,4,1,41,84,53,1,1,1,0,0,0,1,
[100g]こむぎ　［パン類］　ナン,257,10,3,2,48,97,11,1,1,0,0,0,0,1,
[100g]こむぎ　［パン類］　ベーグル,270,10,2,3,55,97,24,1,1,,0,0,,1,
[100g]こむぎ　［うどん・そうめん類］　うどん　生,249,6,1,4,57,90,18,0,0,0,0,0,0,3,きしめん、ひもかわを含む
[100g]こむぎ　［うどん・そうめん類］　うどん　ゆで,95,3,0,1,22,9,6,0,0,0,0,0,0,0,きしめん、ひもかわを含む
[100g]こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,0,0,4,0,0,0,0,0,0,0,0,0,0,
[100g]こむぎ　［うどん・そうめん類］　干しうどん　乾,333,9,1,2,72,130,17,1,0,0,0,0,0,4,
[100g]こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,3,1,1,26,14,7,0,0,0,0,0,0,1,
[100g]こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333,10,1,3,73,120,17,1,0,0,0,0,0,4,
[100g]こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,4,0,1,26,5,6,0,0,0,0,0,0,0,
[100g]こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312,9,2,2,69,110,20,1,0,0,0,0,0,6,
[100g]こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119,4,1,1,26,5,6,0,0,0,0,0,0,0,
[100g]こむぎ　［中華めん類］　中華めん　生,249,9,1,5,56,350,21,1,0,0,0,0,0,1,
[100g]こむぎ　［中華めん類］　中華めん　ゆで,133,5,1,3,29,60,20,0,0,0,0,0,0,0,
[100g]こむぎ　［中華めん類］　半生中華めん,305,0,0,6,0,0,0,0,0,0,0,0,0,0,
[100g]こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162,5,2,3,36,80,10,0,0,0,0,0,0,0,
[100g]こむぎ　［中華めん類］　蒸し中華めん  ソテー,211,5,5,4,39,87,10,0,0,0,0,0,0,0,
[100g]こむぎ　［中華めん類］　干し中華めん　乾,337,12,2,6,70,300,21,1,1,0,0,0,0,1,
[100g]こむぎ　［中華めん類］　干し中華めん　ゆで,132,5,1,3,28,42,13,0,0,0,0,0,0,0,
[100g]こむぎ　［中華めん類］　沖縄そば　生,266,9,2,2,54,340,11,1,1,0,0,0,0,2,別名：沖縄めん
[100g]こむぎ　［中華めん類］　沖縄そば　ゆで,132,5,1,2,28,80,9,0,1,0,0,0,0,0,別名：沖縄めん
[100g]こむぎ　［中華めん類］　干し沖縄そば　乾,317,12,2,2,68,130,23,2,0,0,0,0,0,4,別名：沖縄めん
[100g]こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,5,1,2,29,10,11,1,0,0,0,0,0,1,別名：沖縄めん
[100g]こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,10,17,3,64,260,430,1,1,0,1,2,0,6,"別名： インスタントラーメン
添付調味料等を含む"
[100g]こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,10,19,2,61,150,230,1,1,14,1,1,0,6,"別名： インスタントラーメン
調理前のもの、添付調味料等を含む"
[100g]こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"添付調味料等を含む
01057即席中華めん、油揚げ、乾より推計"
[100g]こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,4,8,3,28,34,95,0,0,1,0,0,0,0,添付調味料等を含まない
[100g]こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,461,9,20,6,66,150,220,1,0,1,0,0,0,2,"調理前のもの、添付調味料等を除く
食物繊維：AOAC2011.25法"
[100g]こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,10,5,2,67,260,110,1,0,5,0,0,0,7,"別名： インスタントラーメン
調理前のもの、添付調味料等を含む"
